qSpecies,name
Swamp Myrtle,96.03960396039604
New Zealand Xmas Tree,95.04950495049505
London Plane,93.06930693069307
Southern Magnolia,90.0990099009901
Brisbane Box,90.0990099009901
Victorian Box,88.11881188118812
Red Flowering Gum,86.13861386138613
Maidenhair Tree,85.14851485148515
Cherry Plum,84.15841584158416
Olive Tree,83.16831683168317
